S.No,actual,pred,alive,plod,name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
1143,1,1,0.676,0.324,Joy Hill,,0.0,,288.0,,,,,House Lannister,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,17.0,0.0,0,0.0,0.103678929765886,1
41,1,1,0.76,0.24,Yormwell,Maester,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0033444816053511,1
1175,1,1,0.726,0.274,Luceon Frey,Septon,1.0,,249.0,,,,,Faith of the Seven,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,56.0,0.0,0,0.0,0.0769230769230769,1
1639,0,1,0.946,0.054,Arthur Dayne,Ser,1.0,Dornishmen,,283.0,,,,House Dayne,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.153846153846153,0
1051,0,1,0.796,0.204,Gawen Wylde,Ser,1.0,,,283.0,,,,House Wylde,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0133779264214046,0
1553,1,1,0.7,0.3,Marwyn,Archmaester,1.0,,,,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.160535117056856,1
130,0,0,0.141,0.859,Runciter,Grand Maester,1.0,,,112.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.244147157190635,0
1655,1,1,0.968,0.032,Beardless Dick,,0.0,,,,,,,Brotherhood Without Banners,,0.0,0.0,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.020066889632107,1
1136,1,1,0.834,0.166,Jonos Frey,,0.0,,291.0,,,,,House Frey,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,14.0,0.0,0,0.0,0.0535117056856187,1
1115,0,0,0.021,0.979,Jaremy Rykker,First Ranger,1.0,,,298.0,,,,Night's Watch,,1.0,1.0,1.0,0.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.060200668896321,0
1384,1,0,0.323,0.677,Tanton Fossoway,Ser,0.0,,,,,,,House Fossoway of Cider Hall,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0234113712374581,1
1479,0,0,0.423,0.577,Cassana Estermont,,1.0,,,278.0,,,,House Estermont,Steffon Baratheon,0.0,1.0,1.0,0.0,1.0,,,,0.0,1.0,0.0,,0.0,0,0.0,0.103678929765886,0
686,1,1,0.816,0.184,Lanna,,0.0,,285.0,,,,,,,0.0,0.0,1.0,1.0,0.0,,,,,0.0,0.0,20.0,0.0,0,0.0,0.020066889632107,1
1494,1,1,0.76,0.24,Dagos Manwoody,Lord of Kingsgrave,1.0,,,,,,,House Manwoody,,0.0,0.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0334448160535117,1
1327,1,1,0.784,0.216,Roger Hogg,Ser,1.0,,,,,,,House Hogg,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0267558528428093,1
368,1,1,0.909,0.091,Blind Doss,,0.0,Free folk,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0,1
440,1,1,0.783,0.217,Dake,,1.0,,,,,,,House Osgrey,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0100334448160535,1
1391,1,0,0.222,0.778,Theomore Harlaw,Lord of the Ten TowersLord Harlaw of HarlawHarlaw of Harlaw,1.0,,,,,,,House Harlaw,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0535117056856187,1
154,1,1,0.976,0.024,Shortear,,0.0,westermen,,,,,,House Lannister,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,1
1896,1,0,0.315,0.685,Satin,,1.0,,280.0,,,,,Night's Watch,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,25.0,0.0,0,0.0,0.103678929765886,1
296,1,1,0.988,0.012,Alaric of Eysen,,0.0,,,,,,,,,0.0,0.0,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0167224080267558,1
1727,1,0,0.235,0.765,Hobb,,1.0,,,,,,,Night's Watch,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0434782608695652,1
1709,1,0,0.494,0.506,Godry Farring,Ser,1.0,,,,,,,House Farring,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0635451505016722,1
379,1,0,0.137,0.863,Brandon Stark (Shipwright),,1.0,Northmen,,,,,,,,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0367892976588628,1
1765,1,1,0.637,0.363,Mark Mullendore,Ser,1.0,,,,,,,House Mullendore,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0501672240802675,1
1204,1,1,0.76,0.24,Malwyn Frey,,1.0,,284.0,,,,,House Frey,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,21.0,0.0,0,0.0,0.137123745819397,1
1449,1,1,0.732,0.268,Willem Frey,,1.0,,289.0,,,,,House Frey,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,16.0,0.0,0,0.0,0.0802675585284281,1
588,1,1,0.998,0.002,Harren Half-Hoare,,1.0,Ironborn,,,,,,,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0167224080267558,1
1738,1,0,0.474,0.526,Irri,,0.0,Dothraki,283.0,,,,,House Targaryen,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,22.0,0.0,0,0.0,0.193979933110367,1
1572,1,1,0.807,0.193,Mors Martell,Sandship,0.0,Dornish,,,,,,House Martell,Nymeria,1.0,0.0,0.0,1.0,0.0,,,,1.0,1.0,1.0,,0.0,0,0.0,0.0535117056856187,1
1543,0,0,0.36,0.64,Lucas Blackwood,,1.0,,,299.0,,,,House Blackwood,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0735785953177257,0
490,1,1,0.759,0.241,Elyas Willum,,1.0,,,,,,,House Willum,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,1
1514,0,1,0.781,0.219,Harren Hoare,,1.0,Ironborn,,,,Halleck Hoare,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,0.0,,0.0,0,0.0,0.204013377926421,0
1134,1,1,0.751,0.249,Jon Wylde,Ser,1.0,,,,,,,House Wylde,Elyana Vypren,0.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,1.0,,0.0,0,0.0,0.160535117056856,1
1368,1,1,0.678,0.322,Stannis Seaworth,,1.0,,289.0,,,,,House Seaworth,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,16.0,0.0,0,0.0,0.0568561872909698,1
545,1,0,0.004,0.996,Grazdan zo Galare,,1.0,Meereenese,,,,,,House of Galare,,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.020066889632107,1
1619,0,0,0.006,0.994,Aegon Blackfyre,,1.0,Valyrian,184.0,196.0,,,,House Blackfyre,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,12.0,0.13333333333333333,1,0.0,0.0836120401337792,0
1641,0,0,0.152,0.848,Ashara Dayne,,0.0,,,283.0,,,,House Dayne,,1.0,1.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0936454849498327,0
1809,1,1,0.731,0.269,Willas Tyrell,,1.0,,270.0,,,,,House Tyrell,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,35.0,0.0,0,0.0,0.290969899665551,1
727,1,1,0.99,0.01,Lum,,1.0,westermen,,,,,,House Lannister,,0.0,0.0,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,1
1472,1,0,0.497,0.503,Boros Blount,Ser,1.0,,,,,,,House Blount,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.217391304347826,1
424,1,1,0.859,0.141,Cosgrove,Steward,0.0,,,,,,,House Butterwell,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0,1
1088,0,1,0.979,0.021,Harwood Fell,Felwood,1.0,,,300.0,,,,House Fell,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0301003344481605,0
1757,1,1,0.888,0.112,Lomys,Maester,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0234113712374581,1
1741,0,1,0.784,0.216,Jacelyn Bywater,Ser,1.0,,,299.0,,,,House Bywater,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.130434782608695,0
693,0,0,0.019,0.981,Lem (Standfast),,0.0,,161.0,,,,,House Osgrey,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,100.0,0.0,0,0.0,0.0133779264214046,0
1210,1,1,0.817,0.183,Marissa Frey,,0.0,,286.0,,,,,House Frey,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,19.0,0.0,0,0.0,0.160535117056856,1
1563,0,1,0.959,0.041,Mohor,,1.0,,,298.0,,,,House Bracken,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0100334448160535,0
1706,0,1,0.56,0.44,Gerion Lannister,,1.0,,255.0,291.0,,,,House Lannister,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,36.0,0.0,0,0.0,0.140468227424749,0
1037,1,1,0.952,0.048,Franklyn Fowler,Skyreach,1.0,Dornishmen,,,,,,House Fowler,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.020066889632107,1
1308,1,1,0.703,0.297,Renly Norcross,,1.0,,296.0,,,,,House Norcross,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,9.0,0.0,0,0.0,0.0836120401337792,1
1078,0,0,0.167,0.833,Hake,,1.0,,,299.0,,,,Night's Watch,,1.0,1.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0267558528428093,0
1633,1,1,0.967,0.033,Andrik,Lord of Southshield,1.0,Ironborn,,,,,,House Drumm,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0434782608695652,1
983,1,0,0.499,0.501,Danwell Frey,Ser,1.0,,252.0,,,,,House Frey,Wynafrei Whent,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,53.0,0.0,0,0.0,0.180602006688963,1
835,1,1,0.822,0.178,Oswyn,,0.0,,,,,,,Kingswood Brotherhood,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0033444816053511,1
814,1,1,0.998,0.002,Norren,Archmaester,1.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0167224080267558,1
472,1,1,0.975,0.025,Dryn,,1.0,Free Folk,,,,,,,,0.0,0.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0167224080267558,1
1781,1,0,0.235,0.765,Pypar,,1.0,,,,,,,Night's Watch,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.113712374581939,1
645,1,1,0.544,0.456,Jon Cupps,Ser,1.0,,,,,,,House Cupps,Leyla Hightower,0.0,0.0,0.0,1.0,0.0,,,,1.0,1.0,1.0,,0.0,0,0.0,0.0501672240802675,1
747,1,1,0.598,0.402,Manfred Dondarrion,Ser,1.0,,,,,,,House Dondarrion,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0100334448160535,1
192,0,1,0.724,0.276,Thistle,,0.0,Free Folk,,300.0,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0167224080267558,0
386,0,1,0.746,0.254,Brown Bernarr,,0.0,,,299.0,,,,Night's Watch,,0.0,1.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0234113712374581,0
1085,1,1,0.893,0.107,Harmond Umber,Last Hearth,0.0,Northmen,,,,,,House Umber,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0167224080267558,1
32,1,0,0.155,0.845,Wun Weg Wun Dar Wun,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0501672240802675,1
110,0,0,0.198,0.802,Roger of Pennytree,,1.0,,,194.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0301003344481605,0
1578,1,1,0.64,0.36,Nymeria,PrincessQueen,0.0,Rhoynar,,,,,,House Martell,Mors Martell,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,1.0,,0.0,0,0.0,0.197324414715719,1
56,0,0,0.0,1.0,Naerys Targaryen,PrincessQueen,0.0,Valyrian,138.0,,,,,House Targaryen,Aegon IV Targaryen,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,1.0,100.0,0.8,1,0.0,0.220735785953177,0
156,1,1,0.998,0.002,Sigfry Stonetree,,1.0,Ironborn,,,,,,House Stonetree,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0033444816053511,1
433,0,0,0.037,0.963,Daeron I Targaryen,,1.0,,,,Daenaera Velaryon,Aegon III Targaryen,Baelor I Targaryen,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.4666666666666667,1,1.0,0.518394648829431,0
1415,1,0,0.375,0.625,Tytos Brax,Ser,1.0,,,,,,,House Brax,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0434782608695652,1
120,1,0,0.2,0.8,Ronnel Stout,,0.0,Northmen,,,,,,House Stout,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0334448160535117,1
1725,1,1,0.952,0.048,Harys Swyft,Knight,1.0,,,,,,,House Swyft,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.06666666666666667,1,1.0,0.451505016722408,1
972,1,1,0.977,0.023,Daeron Vaith,Lord of the Red Dunes,0.0,Dornish,,,,,,House Vaith,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0100334448160535,1
149,1,0,0.035,0.965,Sefton Staunton,Septon,1.0,,,,,,,House Staunton,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0301003344481605,1
1093,1,0,0.466,0.534,Lord Commander Hoare,Lord Commander of the Night's Watch,1.0,,,,,,,House Hoare,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.060200668896321,1
404,1,1,0.986,0.014,Castos,Archmaester,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0066889632107023,1
303,1,1,0.981,0.019,Allaquo,,1.0,Braavosi,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.020066889632107,1
1339,0,0,0.193,0.807,Rupert Brax,Ser,1.0,,,299.0,,,,House Brax,,0.0,1.0,1.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.040133779264214,0
273,0,1,0.692,0.308,Tanda Stokeworth,Stokeworth,0.0,,,300.0,,,,House Stokeworth,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.06666666666666667,1,0.0,0.113712374581939,0
1723,0,0,0.047,0.953,Harma,,0.0,Wildlings,,300.0,,,,,,0.0,1.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0535117056856187,0
294,1,1,0.998,0.002,Agrivane,Archmaester,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0066889632107023,1
164,1,1,0.99,0.01,Spare Boot,,1.0,,,,,,,Night's Watch,,0.0,0.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,1
1539,0,0,0.145,0.855,Lucas Inchfield,Ser,1.0,,,211.0,,,,House Inchfield,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0535117056856187,0
1483,0,0,0.187,0.813,Chiswyck,,0.0,,,299.0,,,,House Clegane,,0.0,1.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0635451505016722,0
448,1,1,0.98,0.02,Daughter of the Dusk,,0.0,Braavosi,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,1
1583,1,0,0.047,0.953,Orwyle,Grand Maester,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.254180602006688,1
1907,1,0,0.196,0.804,Lysono Maar,,1.0,Lyseni,,,,,,Golden Company,,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.020066889632107,1
1816,0,0,0.001,0.999,Shiera Seastar,,0.0,Westeros,178.0,,,,,House Targaryen,,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,100.0,0.26666666666666666,1,0.0,0.0434782608695652,0
1689,0,0,0.445,0.555,Eddard Stark,Winterfell,1.0,Northmen,263.0,299.0,,,,House Stark,Catelyn Tully,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,36.0,0.4,1,1.0,1.0,0
1420,1,1,0.955,0.045,Unella,Septa,0.0,,,,,,,Faith of the Seven,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.020066889632107,1
1818,1,1,0.973,0.027,Ronnet Connington,Ser,1.0,,274.0,,,,,House Connington,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,31.0,0.0,0,0.0,0.113712374581939,1
729,1,1,0.897,0.103,Luthor Tyrell (son of Moryn),Ser,0.0,,,,,,,House Tyrell,Elyn Norridge,0.0,0.0,1.0,1.0,0.0,,,,1.0,1.0,1.0,,0.0,0,0.0,0.130434782608695,1
69,1,0,0.363,0.637,Racallio Ryndoon,,1.0,Tyroshi,,,,,,Kingdom of the Three Daughters,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0100334448160535,1
1318,1,1,0.768,0.232,Robert Flowers,Ser,1.0,,,,,,,Kingsguard,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.060200668896321,1
1847,1,0,0.225,0.775,Three Toes,,1.0,,,,,,,Brave Companions,,0.0,0.0,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,1
520,1,1,0.99,0.01,Galt,,0.0,Vale mountain clans,,,,,,Stone Crows,,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0033444816053511,1
552,1,1,0.941,0.059,Grisel,,0.0,,,,,,,House Baelish,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0033444816053511,1
1350,1,1,0.747,0.253,Sandor Frey,,0.0,,287.0,,,,,House Frey,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,18.0,0.0,0,0.0,0.147157190635451,1
956,0,0,0.18,0.82,Chayle,Septon,1.0,,,299.0,,,,,,1.0,1.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0635451505016722,0
534,0,0,0.008,0.992,Gerold Lannister,Casterly Rock,1.0,Westerman,,244.0,,,,House Lannister,Alysanne Farman,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,,0.0,0,0.0,0.0869565217391304,0
146,1,1,0.773,0.227,Scarb,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0066889632107023,1
227,1,1,0.998,0.002,Umma,,0.0,,,,,,,Faceless Men,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0167224080267558,1
1412,1,1,0.823,0.177,Tyta Frey,,0.0,,269.0,,,,,House Frey,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,36.0,0.0,0,0.0,0.0869565217391304,1
621,0,0,0.207,0.793,Jaehaerys II Targaryen,,1.0,,,,Betha Blackwood,Aegon V Targaryen,Aerys II Targaryen,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0,1.0,0.494983277591973,0
1551,0,1,0.573,0.427,Marillion,,1.0,,279.0,300.0,,,,,,1.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,21.0,0.0,0,0.0,0.1438127090301,0
1200,1,1,0.726,0.274,Lythene Frey,,0.0,,251.0,,,,,House Frey,Lucias Vypren,0.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,0.0,54.0,0.0,0,0.0,0.160535117056856,1
493,1,1,0.79,0.21,Elys Waynwood,Ser,0.0,,,,,,,House Waynwood,Alys Arryn,0.0,0.0,0.0,1.0,0.0,,,,1.0,1.0,1.0,,0.0,0,0.0,0.0702341137123745,1
920,1,1,0.979,0.021,Azzak,Cupbearer,0.0,Ghiscari,,,,,,House of Ghazeen,,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0167224080267558,1
1791,1,1,0.947,0.053,Robin Potter,Ser,1.0,,,,,,,House Potter,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.020066889632107,1
745,1,1,0.717,0.283,Mallor (Knight),Ser,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0,1
138,1,1,0.796,0.204,S'vrone,,0.0,Braavosi,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,1
1309,1,1,0.903,0.097,Renfred Rykker,Duskendale,1.0,,,,,,,House Rykker,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0234113712374581,1
380,1,1,0.796,0.204,Brea,,0.0,Braavosi,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0234113712374581,1
554,1,1,0.994,0.006,Gulian,Maester,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0033444816053511,1
1485,0,0,0.096,0.904,Cohollo,Bloodrider,1.0,Dothraki,,298299.0,,,,Khal,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0334448160535117,0
862,0,0,0.358,0.642,Poxy Tym,,1.0,northmen,,299.0,,,,House Stark,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0100334448160535,0
1945,1,1,0.637,0.363,Coldhands,,1.0,,,,,,,Three-eyed crow,,0.0,0.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.130434782608695,1
1361,0,1,0.856,0.144,Shella Whent,Harrenhal,0.0,Rivermen,,300.0,,,,House Whent,Walter Whent,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,0.06666666666666667,1,0.0,0.0802675585284281,0
1562,0,0,0.322,0.678,Merrett Frey,,1.0,Riverlands,262.0,300.0,,,,House Frey,Mariya Darry,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,0.0,38.0,0.0,0,1.0,0.434782608695652,0
1199,0,0,0.001,0.999,Lyonel Strong,Harrenhal,1.0,,,120.0,,,,House Strong,1st: unknown2nd: unknown3rd: unknown,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,,0.0,0,0.0,0.334448160535117,0
392,1,0,0.494,0.506,Byan Votyris,,1.0,Norvoshi,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0,1
1596,1,0,0.304,0.696,Pia,,0.0,,,,,,,House Whent,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0468227424749163,1
879,1,1,0.955,0.045,Aglantine,Septa,0.0,,,,,,,Faith of the Seven,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,1
962,1,1,0.773,0.227,Conwy,,0.0,,,,,,,Night's Watch,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0267558528428093,1
1541,0,0,0.04,0.96,Lyanna Stark,,1.0,Northmen,266.0,283.0,,,,House Stark,,1.0,1.0,1.0,0.0,1.0,,,,,0.0,0.0,17.0,0.3333333333333333,1,1.0,0.354515050167224,0
1671,1,0,0.271,0.729,Chella,,0.0,Vale mountain clans,,,,,,Black Ears,,1.0,1.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0367892976588628,1
1110,1,1,0.68,0.32,Igon Vyrwel,,0.0,,,,,,,House Vyrwel,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0267558528428093,1
697,1,1,0.52,0.48,Leo Tyrell (Longthorn),Lord Paramount of the Mander,1.0,Reach,,,,,,House Tyrell,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0535117056856187,1
1510,1,0,0.08,0.92,Gilly,,0.0,Free Folk,282.0,,,,,,Craster,0.0,1.0,1.0,1.0,1.0,,,,0.0,1.0,0.0,23.0,0.06666666666666667,1,0.0,0.2876254180602,1
488,0,0,0.085,0.915,Elaena Targaryen,Princess,0.0,Valyrian,150.0,220.0,,,,House Targaryen,Ossifer Plumm,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,1.0,70.0,0.4666666666666667,1,0.0,0.137123745819397,0
1408,1,1,0.884,0.116,Tybolt Hetherspoon,Ser,1.0,,,,,,,House Hetherspoon,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0100334448160535,1
1513,0,0,0.123,0.877,Gyles Rosby,Master of Coin,1.0,,,300.0,,,,House Rosby,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,1.0,0.364548494983277,0
703,1,1,0.81,0.19,Lewys Piper,,1.0,Rivermen,,,,,,House Piper,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0334448160535117,1
979,1,1,0.915,0.085,Dancy,,0.0,,,,,,,Chataya's brothel,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.040133779264214,1
861,0,1,0.532,0.468,Poul Pemford,,1.0,,,299.0,,,,House Pemford,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0066889632107023,0
1417,1,1,0.732,0.268,Tywin Frey,Ser,1.0,,287.0,,,,,House Frey,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,18.0,0.0,0,0.0,0.0802675585284281,1
